symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;cnpj;ask;bid;quotationForm;security_category;spot_price;trades;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;lastUpdatedDividendsAt
BRKMS227;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GW4;False;EUROPEAN;BRASKEM PNA, R$ 22.75, 19-07-2024;22.75;2024-06-22T10:18:38.922Z;0.0;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;-62167294412000;22.75;;
BRKMG230;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0FU4;False;AMERICAN;BRASKEM PNA, R$ 23.00, 19-07-2024;23.0;2024-06-22T10:18:38.371Z;0.03;2024-06-22T10:18:38.371Z;60;0.03;0.03;0.03;-50.0;2000;42150391000170;0.05;0.02;;7;17.95;0;500;4500;1719244676000;CALL;1719240973000;23.0;;
BRKMS230;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0FZ9;False;EUROPEAN;BRASKEM PNA, R$ 23.00, 19-07-2024;23.0;2024-06-22T10:18:38.922Z;4.96;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1719216325000;23.0;;
BRKMG235;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GR8;False;AMERICAN;BRASKEM PNA, R$ 23.50, 19-07-2024;23.5;2024-06-22T10:18:38.371Z;0.05;2024-06-22T10:18:38.371Z;0;0.0;0.0;0.0;0.0;0;;0.1;0.02;;7;17.95;0;500;64400;1719244676000;CALL;1718897536000;23.5;;
BRKMS235;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GQ6;False;EUROPEAN;BRASKEM PNA, R$ 23.50, 19-07-2024;23.5;2024-06-22T10:18:38.922Z;5.38;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1718891714000;23.5;;
BRKMG237;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0G33;False;EUROPEAN;BRASKEM PNA, R$ 23.75, 19-07-2024;23.75;2024-06-22T10:18:38.370Z;0.05;2024-06-22T10:18:38.370Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.05;0.02;;7;17.95;0;30000;200;1719244079000;CALL;1718908753000;23.75;;
BRKMS237;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0G38;False;EUROPEAN;BRASKEM PNA, R$ 23.75, 19-07-2024;23.75;2024-06-22T10:18:38.922Z;0.0;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1708632000000;23.75;;
BRKMG240;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0FZ3;False;AMERICAN;BRASKEM PNA, R$ 24.00, 19-07-2024;24.0;2024-06-22T10:18:38.371Z;0.03;2024-06-22T10:18:38.371Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.05;0.02;;7;17.95;0;500;1000;1719244077000;CALL;1719216325000;24.0;;
BRKMS240;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0G12;False;EUROPEAN;BRASKEM PNA, R$ 24.00, 19-07-2024;24.0;2024-06-22T10:18:38.922Z;6.2;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1718739818000;24.0;;
BRKMG245;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0G82;False;AMERICAN;BRASKEM PNA, R$ 24.50, 19-07-2024;24.5;2024-06-22T10:18:38.370Z;0.02;2024-06-22T10:18:38.370Z;4;0.02;0.02;0.02;-50.0;200;42150391000170;0.03;0.02;;7;17.88;0;800;1200;1719245301000;CALL;1719244765000;24.5;;
BRKMS245;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0G79;False;EUROPEAN;BRASKEM PNA, R$ 24.50, 19-07-2024;24.5;2024-06-22T10:18:38.922Z;6.88;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1719216326000;24.5;;
BRKMG250;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0FT6;False;AMERICAN;BRASKEM PNA, R$ 25.00, 19-07-2024;25.0;2024-06-22T10:18:38.371Z;0.03;2024-06-22T10:18:38.371Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719239163000;CALL;1718382942000;25.0;;
BRKMS250;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0FX4;False;EUROPEAN;BRASKEM PNA, R$ 25.00, 19-07-2024;25.0;2024-06-22T10:18:38.922Z;7.2;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1718803078000;25.0;;
BRKMG255;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GS6;False;AMERICAN;BRASKEM PNA, R$ 25.50, 19-07-2024;25.5;2024-06-22T10:18:38.371Z;1.0;2024-06-22T10:18:38.371Z;0;0.0;0.0;0.0;0.0;0;;0.4;0.0;;7;17.95;0;0;100;1719244082000;CALL;1713468502000;25.5;;
BRKMS255;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GT0;False;EUROPEAN;BRASKEM PNA, R$ 25.50, 19-07-2024;25.5;2024-06-22T10:18:38.922Z;7.42;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1718907188000;25.5;;
BRKMG260;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0G17;False;AMERICAN;BRASKEM PNA, R$ 26.00, 19-07-2024;26.0;2024-06-22T10:18:38.371Z;0.02;2024-06-22T10:18:38.371Z;24;0.02;0.02;0.02;-50.0;1200;42150391000170;0.04;0.02;;7;17.88;0;19800;2000;1719244786000;CALL;1719244786000;26.0;;
BRKMS260;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0FW6;False;EUROPEAN;BRASKEM PNA, R$ 26.00, 19-07-2024;26.0;2024-06-22T10:18:38.922Z;8.3;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1719216325000;26.0;;
BRKMG265;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GC0;False;AMERICAN;BRASKEM PNA, R$ 26.50, 19-07-2024;26.5;2024-06-22T10:18:38.371Z;0.04;2024-06-22T10:18:38.371Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1718812663000;26.5;;
BRKMS265;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0G46;False;EUROPEAN;BRASKEM PNA, R$ 26.50, 19-07-2024;26.5;2024-06-22T10:18:38.922Z;8.78;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1719216327000;26.5;;
BRKMG270;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GO5;False;AMERICAN;BRASKEM PNA, R$ 27.00, 19-07-2024;27.0;2024-06-22T10:18:38.371Z;0.03;2024-06-22T10:18:38.371Z;0;0.0;0.0;0.0;0.0;0;;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1718299038000;27.0;;
