symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;ask;bid;quotationForm;security_category;spot_price;trades;cnpj;lastUpdatedDividendsAt;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;has_options
CPLES134;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0C48;False;EUROPEAN;COPEL PNB, R$ 13.45, 19-07-2024;13.45;2024-06-22T10:18:38.461Z;0.0;2024-06-22T10:18:38.461Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;PUT;1688582413000;13.45;;
CPLEG140;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BK0;False;AMERICAN;COPEL PNB, R$ 13.95, 19-07-2024;13.95;2024-06-22T10:18:38.640Z;0.0;2024-06-22T10:18:38.640Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;CALL;1688582413000;13.95;;
CPLES140;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BO8;False;EUROPEAN;COPEL PNB, R$ 13.95, 19-07-2024;13.95;2024-06-22T10:18:38.461Z;0.0;2024-06-22T10:18:38.461Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;PUT;1688582413000;13.95;;
CPLEG144;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0C35;False;AMERICAN;COPEL PNB, R$ 14.45, 19-07-2024;14.45;2024-06-22T10:18:38.640Z;0.0;2024-06-22T10:18:38.640Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;CALL;1688582413000;14.45;;
CPLES144;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BR1;False;EUROPEAN;COPEL PNB, R$ 14.45, 19-07-2024;14.45;2024-06-22T10:18:38.461Z;0.0;2024-06-22T10:18:38.461Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;PUT;1688582413000;14.45;;
CPLEG150;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BC7;False;AMERICAN;COPEL PNB, R$ 14.95, 19-07-2024;14.95;2024-06-22T10:18:38.641Z;0.0;2024-06-22T10:18:38.641Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;CALL;1688582413000;14.95;;
CPLES150;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0B98;False;EUROPEAN;COPEL PNB, R$ 14.95, 19-07-2024;14.95;2024-06-22T10:18:38.461Z;0.0;2024-06-22T10:18:38.461Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;PUT;1688582413000;14.95;;
CPLEG154;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BQ7;False;AMERICAN;COPEL PNB, R$ 15.45, 19-07-2024;15.45;2024-06-22T10:18:38.641Z;0.0;2024-06-22T10:18:38.641Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;CALL;1688582413000;15.45;;
CPLES154;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0C22;False;EUROPEAN;COPEL PNB, R$ 15.45, 19-07-2024;15.45;2024-06-22T10:18:38.460Z;0.0;2024-06-22T10:18:38.460Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;PUT;1688582413000;15.45;;
CPLEG160;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BE3;False;AMERICAN;COPEL PNB, R$ 15.95, 19-07-2024;15.95;2024-06-22T10:18:38.641Z;0.0;2024-06-22T10:18:38.641Z;0;0.0;0.0;0.0;0.0;0;0.1;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;1000;1719244081000;CALL;1688582413000;15.95;;
CPLES160;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BB5;False;EUROPEAN;COPEL PNB, R$ 15.95, 19-07-2024;15.95;2024-06-22T10:18:38.460Z;0.0;2024-06-22T10:18:38.460Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;PUT;1688582413000;15.95;;
