symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning
LRENS183;LOJAS RENNERON, R$ 18.37, 19-07-2024;0.0;0.0;0.0;5.78;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;18.37;100;BOVESPA;2024-06-22T10:18:38.336Z;2024-06-22T10:18:38.336Z;0.0;12.53;BRLREN3S0ID2;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718818544000;18.37;;;
LRENG188;LOJAS RENNERON, R$ 18.87, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.01;CALL;2024-07-19;AMERICAN;18.87;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;12.53;BRLREN3G0IR6;7;False;2024-07-18;19;;0;8200;1719244064000;CALL;1717678980000;18.87;;;
LRENS188;LOJAS RENNERON, R$ 18.87, 19-07-2024;0.0;0.0;0.0;6.2;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;18.87;100;BOVESPA;2024-06-22T10:18:38.336Z;2024-06-22T10:18:38.336Z;0.0;12.53;BRLREN3S0J35;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1719216321000;18.87;;;
LRENG193;LOJAS RENNERON, R$ 19.37, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;CALL;2024-07-19;AMERICAN;19.37;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;12.53;BRLREN3G0J48;7;False;2024-07-18;19;;0;4000;1719244064000;CALL;1718372184000;19.37;;;
LRENS193;LOJAS RENNERON, R$ 19.37, 19-07-2024;6.47;6.47;6.47;6.47;400;2588;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;19.37;100;BOVESPA;2024-06-22T10:18:38.341Z;2024-06-22T10:18:38.341Z;-1.97;12.76;BRLREN3S0IV4;7;False;2024-07-18;19;;0;0;1719236219000;PUT;1719236219000;19.37;;;
LRENG198;LOJAS RENNERON, R$ 19.87, 19-07-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.02;CALL;2024-07-19;AMERICAN;19.87;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;12.53;BRLREN3G0J14;7;False;2024-07-18;19;;0;2000;1719244064000;CALL;1716320840000;19.87;;;
LRENS198;LOJAS RENNERON, R$ 19.87, 19-07-2024;0.0;0.0;0.0;7.03;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;19.87;100;BOVESPA;2024-06-22T10:18:38.341Z;2024-06-22T10:18:38.341Z;0.0;12.53;BRLREN3S0IU6;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718895114000;19.87;;;
LRENG203;LOJAS RENNERON, R$ 20.37, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;CALL;2024-07-19;AMERICAN;20.37;100;BOVESPA;2024-06-22T10:18:38.571Z;2024-06-22T10:18:38.571Z;0.0;12.53;BRLREN3G0IY2;7;False;2024-07-18;19;;0;4000;1719244064000;CALL;1716301465000;20.37;;;
LRENS203;LOJAS RENNERON, R$ 20.37, 19-07-2024;0.0;0.0;0.0;7.67;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;20.37;100;BOVESPA;2024-06-22T10:18:38.353Z;2024-06-22T10:18:38.353Z;0.0;12.53;BRLREN3S0IN1;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718822903000;20.37;;;
LRENG208;LOJAS RENNERON, R$ 20.87, 19-07-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.02;CALL;2024-07-19;AMERICAN;20.87;100;BOVESPA;2024-06-22T10:18:38.570Z;2024-06-22T10:18:38.570Z;0.0;12.53;BRLREN3G0J30;7;False;2024-07-18;19;;0;2000;1719244064000;CALL;1716297917000;20.87;;;
LRENS208;LOJAS RENNERON, R$ 20.87, 19-07-2024;0.0;0.0;0.0;8.05;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;20.87;100;BOVESPA;2024-06-22T10:18:38.353Z;2024-06-22T10:18:38.353Z;0.0;12.53;BRLREN3S0IY8;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718907441000;20.87;;;
LRENG213;LOJAS RENNERON, R$ 21.37, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;21.37;100;BOVESPA;2024-06-22T10:18:38.571Z;2024-06-22T10:18:38.571Z;0.0;12.53;BRLREN3G0J22;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1712756879000;21.37;;;
LRENS213;LOJAS RENNERON, R$ 21.37, 19-07-2024;0.0;0.0;0.0;8.65;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;21.37;100;BOVESPA;2024-06-22T10:18:38.353Z;2024-06-22T10:18:38.353Z;0.0;12.53;BRLREN3S0IX0;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718296874000;21.37;;;
LRENG218;LOJAS RENNERON, R$ 21.87, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;21.87;100;BOVESPA;2024-06-22T10:18:38.571Z;2024-06-22T10:18:38.571Z;0.0;12.53;BRLREN3G0IT2;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1712756879000;21.87;;;
LRENS218;LOJAS RENNERON, R$ 21.87, 19-07-2024;8.93;8.93;8.93;8.93;2000;17860;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;21.87;100;BOVESPA;2024-06-22T10:18:38.353Z;2024-06-22T10:18:38.353Z;2.408;12.79;BRLREN3S0II1;7;False;2024-07-18;19;;0;0;1719236653000;PUT;1719236653000;21.87;;;
LRENG223;LOJAS RENNERON, R$ 22.37, 19-07-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.02;CALL;2024-07-19;AMERICAN;22.37;100;BOVESPA;2024-06-22T10:18:38.571Z;2024-06-22T10:18:38.571Z;0.0;12.53;BRLREN3G0IP0;7;False;2024-07-18;19;;0;2000;1719244064000;CALL;1715779800000;22.37;;;
LRENS223;LOJAS RENNERON, R$ 22.37, 19-07-2024;0.0;0.0;0.0;8.98;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;22.37;100;BOVESPA;2024-06-22T10:18:38.353Z;2024-06-22T10:18:38.353Z;0.0;12.53;BRLREN3S0J01;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1717184049000;22.37;;;
LRENG228;LOJAS RENNERON, R$ 22.87, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;22.87;100;BOVESPA;2024-06-22T10:18:38.570Z;2024-06-22T10:18:38.570Z;0.0;12.53;BRLREN3G0IL9;7;False;2024-07-18;19;;0;0;1719238064000;CALL;1712756879000;22.87;;;
LRENS228;LOJAS RENNERON, R$ 22.87, 19-07-2024;0.0;0.0;0.0;10.2;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;22.87;100;BOVESPA;2024-06-22T10:18:38.353Z;2024-06-22T10:18:38.353Z;0.0;12.53;BRLREN3S0IJ9;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1719216321000;22.87;;;
LRENG261;LOJAS RENNERON, R$ 26.12, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;EUROPEAN;26.12;100;BOVESPA;2024-06-22T10:18:38.570Z;2024-06-22T10:18:38.570Z;0.0;12.53;BRLREN3G0J97;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688655551000;26.12;;;
LRENS261;LOJAS RENNERON, R$ 26.12, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;26.12;100;BOVESPA;2024-06-22T10:18:38.348Z;2024-06-22T10:18:38.348Z;0.0;12.53;BRLREN3S0J68;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1689875198000;26.12;;;
LRENG263;LOJAS RENNERON, R$ 26.37, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;26.37;100;BOVESPA;2024-06-22T10:18:38.570Z;2024-06-22T10:18:38.570Z;0.0;12.53;BRLREN3G0J63;7;False;2024-07-18;19;;0;0;1719234000000;CALL;-62167294412000;26.37;;;
LRENS263;LOJAS RENNERON, R$ 26.37, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;26.37;100;BOVESPA;2024-06-22T10:18:38.348Z;2024-06-22T10:18:38.348Z;0.0;12.53;BRLREN3S0J92;7;False;2024-07-18;19;;0;0;1719234000000;PUT;-62167294412000;26.37;;;
