symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;quotation_form;warning
PETRF382W4;PETROBRAS PN, R$ 37.30, 28-06-2024;0.24;0.26;0.14;0.18;51500;10259;0;0.16;0.19;CALL;2024-06-28;EUROPEAN;37.3;100;BOVESPA;2024-06-22T10:18:38.968Z;2024-06-22T10:18:38.968Z;-10.0;36.72;BRPETR4F19Q2;7;False;2024-06-27;4;;39000;200;1719245242000;CALL;1719244861000;37.3;;;;
PETRR382W4;PETROBRAS PN, R$ 37.30, 28-06-2024;0.43;0.6;0.42;0.6;33700;18540;0;0.4;0.89;PUT;2024-06-28;EUROPEAN;37.3;100;BOVESPA;2024-06-22T10:18:38.913Z;2024-06-22T10:18:38.913Z;42.857;36.72;BRPETR4R19E3;7;False;2024-06-27;4;;100;100;1719243797000;PUT;1719239158000;37.3;;;;
PETRF385W4;PETROBRAS PN, R$ 37.55, 28-06-2024;0.1;0.17;0.1;0.12;79000;10576;0;0.11;0.14;CALL;2024-06-28;AMERICAN;37.55;100;BOVESPA;2024-06-22T10:18:38.985Z;2024-06-22T10:18:38.985Z;-14.286;36.65;BRPETR4F1874;7;False;2024-06-27;4;;600;58900;1719244195000;CALL;1719244195000;37.55;;;;
PETRR385W4;PETROBRAS PN, R$ 37.55, 28-06-2024;0.92;0.92;0.92;0.92;300;276;0;0.13;1.5;PUT;2024-06-28;EUROPEAN;37.55;100;BOVESPA;2024-06-22T10:18:38.924Z;2024-06-22T10:18:38.924Z;2.222;36.71;BRPETR4R1912;7;False;2024-06-27;4;;100;200;1719238701000;PUT;1719238701000;37.55;;;;
PETRF387W4;PETROBRAS PN, R$ 37.80, 28-06-2024;0.1;0.11;0.07;0.07;25600;2488;0;0.07;0.09;CALL;2024-06-28;EUROPEAN;37.8;100;BOVESPA;2024-06-22T10:18:39.007Z;2024-06-22T10:18:39.007Z;-30.0;36.72;BRPETR4F1908;7;False;2024-06-27;4;;18300;600;1719244771000;CALL;1719244771000;37.8;;;;
PETRR387W4;PETROBRAS PN, R$ 37.80, 28-06-2024;0.0;0.0;0.0;1.1;0;0;0;0.13;0.0;PUT;2024-06-28;EUROPEAN;37.8;100;BOVESPA;2024-06-22T10:18:38.932Z;2024-06-22T10:18:38.932Z;0.0;36.72;BRPETR4R1987;7;False;2024-06-27;4;;100;0;1719234000000;PUT;1719216334000;37.8;;;;
PETRF390W4;PETROBRAS PN, R$ 38.05, 28-06-2024;0.07;0.08;0.05;0.05;11800;658;0;0.05;0.06;CALL;2024-06-28;AMERICAN;38.05;100;BOVESPA;2024-06-22T10:18:38.804Z;2024-06-22T10:18:38.804Z;-28.571;36.72;BRPETR4F17Y0;7;False;2024-06-27;4;;59300;800;1719245223000;CALL;1719245223000;38.05;;;;
PETRR390W4;PETROBRAS PN, R$ 38.05, 28-06-2024;1.35;1.35;1.34;1.34;600;809;0;0.91;0.0;PUT;2024-06-28;EUROPEAN;38.05;100;BOVESPA;2024-06-22T10:18:38.818Z;2024-06-22T10:18:38.818Z;0.0;36.72;BRPETR4R18D7;7;False;2024-06-27;4;;200;0;1719245100000;PUT;1719239747000;38.05;;;;
PETRF392W4;PETROBRAS PN, R$ 38.30, 28-06-2024;0.05;0.05;0.03;0.03;1200;44;0;0.02;0.04;CALL;2024-06-28;EUROPEAN;38.3;100;BOVESPA;2024-06-22T10:18:38.831Z;2024-06-22T10:18:38.831Z;-70.0;36.56;BRPETR4F19N9;7;False;2024-06-27;4;;200100;1000;1719242138000;CALL;1719242138000;38.3;;;;
PETRR392W4;PETROBRAS PN, R$ 38.30, 28-06-2024;1.5;1.7;1.4;1.7;1800;2845;0;1.35;1.8;PUT;2024-06-28;EUROPEAN;38.3;100;BOVESPA;2024-06-22T10:18:38.827Z;2024-06-22T10:18:38.827Z;9.677;36.55;BRPETR4R19B9;7;False;2024-06-27;4;;500;300;1719240907000;PUT;1719240500000;38.3;;;;
